"country_name","region","income_group","debt_pct_gdp","gdp_usd_billions","debt_usd_billions","reserves_now_usd_billions","reserves_6mo_ago_usd_billions","reserve_change_6mo_usd_billions","reserves_pct_of_debt","months_import_cover","liquidity_risk_flag"
"United States","North America","High income","142.11","39031.262","55468.5","273.44","268.27","5.17","0.49","1.1","RED - Worrying"
"France","Europe & Central Asia","High income","120.74","4116.865","4970.5","92.78","92.13","0.65","1.87","1.3","RED - Worrying"
"Greece","Europe & Central Asia","High income","110.94","370.551","411.1","8.34","8.19","0.15","2.03","1.1","RED - Worrying"
"Belgium","Europe & Central Asia","High income","122.34","887.607","1085.9","24.79","24.83","-0.03","2.28","0.6","RED - Worrying"
"Italy","Europe & Central Asia","High income","136.10","3127.67","4256.8","97.64","95.77","1.86","2.29","1.8","RED - Worrying"
"Venezuela, RB","Latin America & Caribbean",NULL,"308.75","117.908","364.0","8.54","8.76","-0.22","2.35",NULL,"No Data"
"Germany","Europe & Central Asia","High income","73.67","6351.962","4679.6","111.14","109.71","1.43","2.38","0.8","RED - Worrying"
"Austria","Europe & Central Asia","High income","86.42","727.089","628.4","15.14","14.13","1.01","2.41","0.8","RED - Worrying"
"United Kingdom","Europe & Central Asia","High income","102.55","5403.155","5541.0","174.56","167.25","7.31","3.15","2.4","RED - Worrying"
"Spain","Europe & Central Asia","High income","90.44","2572.443","2326.6","89.33","87.51","1.82","3.84","2.2","RED - Worrying"
"Canada","North America","High income","103.53","3139.433","3250.1","125.96","125.72","0.25","3.88","2.6","RED - Worrying"
"Finland","Europe & Central Asia","High income","100.79","402.417","405.6","16.36","16.08","0.28","4.03","2.1","RED - Worrying"
"Romania","Europe & Central Asia","High income","70.39","648.39","456.4","18.49","17.21","1.28","4.05","1.4","RED - Worrying"
"Maldives","South Asia","Upper middle income","131.90","11.033","14.6","0.72","0.74","-0.01","4.95","3.0","YELLOW - Manageable"
"Portugal","Europe & Central Asia","High income","74.38","461.165","343.0","17.09","11.44","5.65","4.98","1.1","RED - Worrying"
"Bolivia","Latin America & Caribbean","Lower middle income","102.70","80.743","82.9","4.32","2.88","1.44","5.21","3.3","YELLOW - Manageable"
"Sri Lanka","South Asia","Lower middle income","100.84","98.964","99.8","7.28","6.18","1.11","7.30","3.0","YELLOW - Manageable"
"St. Vincent and the Grenadines","Latin America & Caribbean","Upper middle income","144.68","1.558","2.3","0.17","0.18","-0.01","7.37",NULL,"No Data"
"China","East Asia & Pacific","Upper middle income","126.79","27496.67","34861.9","3497.75","3391.87","105.88","10.03","15.7","GREEN - Good"
"Brazil","Latin America & Caribbean","Upper middle income","106.52","3378.877","3599.2","371.07","350.77","20.31","10.31","15.2","GREEN - Good"
"Zambia","Sub-Saharan Africa","Lower middle income","86.00","60.5","52.0","5.51","4.68","0.83","10.59",NULL,"No Data"
"St. Lucia","Latin America & Caribbean","Upper middle income","77.37","3.433","2.7","0.29","0.31","-0.02","10.59",NULL,"No Data"
"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan","Lower middle income","70.92","665.595","472.0","52.75","49.25","3.50","11.18","6.2","GREEN - Good"
"Slovak Republic","Europe & Central Asia","High income","75.03","211.484","158.7","19.21","17.18","2.03","12.10","1.7","RED - Worrying"
"Kenya","Sub-Saharan Africa","Lower middle income","75.13","196.043","147.3","18.61","17.76","0.85","12.63","9.6","GREEN - Good"
"El Salvador","Latin America & Caribbean","Upper middle income","74.36","52.243","38.8","4.91","4.84","0.06","12.64","3.4","YELLOW - Manageable"
"Namibia","Sub-Saharan Africa","Lower middle income","75.71","22.45","17.0","2.15","2.16","-0.01","12.65",NULL,"No Data"
"Bhutan","South Asia","Lower middle income","123.96","6.209","7.7","0.99","1.13","-0.14","12.82",NULL,"No Data"
"Japan","East Asia & Pacific","High income","192.81","5128.325","9887.7","1269.76","1232.01","37.75","12.84","19.3","GREEN - Good"
"India","South Asia","Lower middle income","77.69","6792.432","5277.0","728.49","695.36","33.14","13.81","10.3","GREEN - Good"
