"country_name","region","income_group","latest_year","fiscal_deterioration_streak_yrs","debt_deterioration_streak_yrs","ca_deterioration_streak_yrs","dimensions_on_3yr_plus_streak","latest_fiscal_balance_pct_gdp","latest_debt_pct_gdp","latest_ca_pct_gdp","structural_decline_flag"
"Micronesia, Fed. Sts.","East Asia & Pacific","Lower middle income",2031,"7","4","4",3,"-1.19","9.54","-0.96","RED - Structural Decline Across All Dimensions"
"Slovenia","Europe & Central Asia","High income",2031,"7","5","3",3,"-2.94","67.08","2.79","RED - Structural Decline Across All Dimensions"
"Mozambique","Sub-Saharan Africa","Low income",2031,"6","6","3",3,"-10.96","111.48","-1.75","RED - Structural Decline Across All Dimensions"
"Turkmenistan","Europe & Central Asia","Upper middle income",2031,"5","5","5",3,"-0.70","4.90","-1.27","RED - Structural Decline Across All Dimensions"
"Singapore","East Asia & Pacific","High income",2031,"5","7","6",3,"1.84","174.75","16.32","RED - Structural Decline Across All Dimensions"
"Bangladesh","South Asia","Lower middle income",2031,"5","5","5",3,"-5.65","48.80","-2.02","RED - Structural Decline Across All Dimensions"
"Central African Republic","Sub-Saharan Africa","Low income",2031,"5","11","5",3,"-9.55","81.57","-5.43","RED - Structural Decline Across All Dimensions"
"Kuwait","Middle East, North Africa, Afghanistan & Pakistan","High income",2031,"4","7","5",3,"28.71","37.85","14.30","RED - Structural Decline Across All Dimensions"
"Croatia","Europe & Central Asia","High income",2031,"4","6","3",3,"-2.44","58.68","-1.87","RED - Structural Decline Across All Dimensions"
"Poland","Europe & Central Asia","High income",2031,"4","9","3",3,"-4.81","77.57","-0.98","RED - Structural Decline Across All Dimensions"
"Uruguay","Latin America & Caribbean","High income",2031,"4","3","6",3,"-2.12","67.31","-1.75","RED - Structural Decline Across All Dimensions"
"Haiti","Latin America & Caribbean","Lower middle income",2031,"4","4","4",3,"-1.50","11.77","-2.08","RED - Structural Decline Across All Dimensions"
"Iraq","Middle East, North Africa, Afghanistan & Pakistan","Upper middle income",2031,"4","4","4",3,"-7.28","70.58","-5.58","RED - Structural Decline Across All Dimensions"
"Netherlands","Europe & Central Asia","High income",2031,"4","6","5",3,"-2.61","48.03","8.51","RED - Structural Decline Across All Dimensions"
"Eswatini","Sub-Saharan Africa","Lower middle income",2031,"3","7","3",3,"-2.66","55.63","0.91","RED - Structural Decline Across All Dimensions"
"Nicaragua","Latin America & Caribbean","Lower middle income",2031,"3","6","6",3,"2.12","30.59","-0.07","RED - Structural Decline Across All Dimensions"
"Armenia","Europe & Central Asia","Upper middle income",2031,"3","3","3",3,"-1.32","46.72","-4.44","RED - Structural Decline Across All Dimensions"
"Tonga","East Asia & Pacific","Upper middle income",2031,"3","6","3",3,"-11.64","76.65","-5.91","RED - Structural Decline Across All Dimensions"
"Tunisia","Middle East, North Africa, Afghanistan & Pakistan","Lower middle income",2031,"3","5","4",3,"-6.80","91.05","-4.77","RED - Structural Decline Across All Dimensions"
"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income",2031,"9","8","1",2,"-4.63","41.70","-3.97","YELLOW - Persistent Deterioration on Multiple Fronts"
"Portugal","Europe & Central Asia","High income",2031,"8","1","3",2,"-1.58","74.38","0.54","YELLOW - Persistent Deterioration on Multiple Fronts"
"Cyprus","Europe & Central Asia","High income",2031,"7","1","4",2,"1.61","32.05","-10.51","YELLOW - Persistent Deterioration on Multiple Fronts"
"Samoa","East Asia & Pacific","Upper middle income",2031,"7","4","2",2,"-1.54","19.17","-2.28","YELLOW - Persistent Deterioration on Multiple Fronts"
"Luxembourg","Europe & Central Asia","High income",2031,"7","8","1",2,"-3.07","35.20","5.00","YELLOW - Persistent Deterioration on Multiple Fronts"
"Lithuania","Europe & Central Asia","High income",2031,"7","8","1",2,"-4.31","56.25","1.65","YELLOW - Persistent Deterioration on Multiple Fronts"
"United Arab Emirates","Middle East, North Africa, Afghanistan & Pakistan","High income",2031,"7","2","7",2,"4.49","26.01","9.04","YELLOW - Persistent Deterioration on Multiple Fronts"
"Tuvalu","East Asia & Pacific","Upper middle income",2031,"6","2","6",2,"-8.78","1.89","-7.83","YELLOW - Persistent Deterioration on Multiple Fronts"
"Czechia","Europe & Central Asia","High income",2031,"6","8","2",2,"-3.06","53.62","-0.54","YELLOW - Persistent Deterioration on Multiple Fronts"
"Norway","Europe & Central Asia","High income",2031,"5","2","5",2,"6.33","25.46","11.16","YELLOW - Persistent Deterioration on Multiple Fronts"
"Myanmar","East Asia & Pacific","Lower middle income",2031,"5","2","7",2,"-3.31","48.52","-2.13","YELLOW - Persistent Deterioration on Multiple Fronts"
"Slovak Republic","Europe & Central Asia","High income",2031,"5","8","1",2,"-5.45","75.03","-1.07","YELLOW - Persistent Deterioration on Multiple Fronts"
"Belgium","Europe & Central Asia","High income",2031,"5","8","2",2,"-5.78","122.34","-0.70","YELLOW - Persistent Deterioration on Multiple Fronts"
"Germany","Europe & Central Asia","High income",2031,"5","7","1",2,"-3.66","73.67","3.84","YELLOW - Persistent Deterioration on Multiple Fronts"
"Qatar","Middle East, North Africa, Afghanistan & Pakistan","High income",2031,"5","2","3",2,"2.86","35.48","14.37","YELLOW - Persistent Deterioration on Multiple Fronts"
"Thailand","East Asia & Pacific","Upper middle income",2031,"4","12","1",2,"-2.22","69.70","2.67","YELLOW - Persistent Deterioration on Multiple Fronts"
