"country_name","region","income_group","stock_data_year","stock_data_month","stock_3yr_gain_pct","gdp_usd_billions","fiscal_balance_now_pct_gdp","fiscal_balance_now_usd_billions","fiscal_balance_3yr_ago_pct_gdp","fiscal_balance_deterioration","market_mispricing_flag"
"Venezuela, RB","Latin America & Caribbean",NULL,2025,11,"4306780.14","99.661","-5.84","-5.82","-5.29","-0.55","YELLOW - Emerging Disconnect"
"Malawi","Sub-Saharan Africa","Low income",2026,3,"363.49","18.152","-10.51","-1.91","-7.84","-2.67","YELLOW - Emerging Disconnect"
"Israel","Middle East, North Africa, Afghanistan & Pakistan","High income",2026,3,"180.48","719.848","-5.86","-42.18","-5.38","-0.48","YELLOW - Emerging Disconnect"
"Slovenia","Europe & Central Asia","High income",2026,3,"156.72","86.732","-2.65","-2.30","-2.58","-0.07","YELLOW - Emerging Disconnect"
"Romania","Europe & Central Asia","High income",2026,3,"137.60","480.834","-6.25","-30.04","-5.66","-0.59","YELLOW - Emerging Disconnect"
"Kenya","Sub-Saharan Africa","Lower middle income",2026,3,"129.32","147.265","-6.43","-9.46","-5.62","-0.81","YELLOW - Emerging Disconnect"
"Poland","Europe & Central Asia","High income",2026,3,"122.61","1134.248","-6.75","-76.52","-5.20","-1.55","YELLOW - Emerging Disconnect"
"Bulgaria","Europe & Central Asia","High income",2026,3,"117.76","148.121","-3.27","-4.85","-3.04","-0.23","YELLOW - Emerging Disconnect"
"Tunisia","Middle East, North Africa, Afghanistan & Pakistan","Lower middle income",2026,3,"101.16","60.745","-7.40","-4.50","-7.27","-0.14","YELLOW - Emerging Disconnect"
"United Arab Emirates","Middle East, North Africa, Afghanistan & Pakistan","High income",2026,2,"94.58","621.546","4.89","30.41","5.82","-0.93","YELLOW - Emerging Disconnect"
"Norway","Europe & Central Asia","High income",2026,3,"88.56","599.406","10.17","60.93","15.86","-5.69","RED - Severe Disconnect"
"Croatia","Europe & Central Asia","High income",2026,3,"88.04","116.574","-2.91","-3.39","-0.79","-2.12","YELLOW - Emerging Disconnect"
"Austria","Europe & Central Asia","High income",2026,3,"76.37","623.719","-4.19","-26.10","-2.59","-1.60","YELLOW - Emerging Disconnect"
"Uganda","Sub-Saharan Africa","Low income",2026,3,"75.90","73.37","-5.93","-4.35","-4.87","-1.06","YELLOW - Emerging Disconnect"
"Chile","Latin America & Caribbean","High income",2026,3,"74.49","407.85","-2.47","-10.05","-2.27","-0.19","YELLOW - Emerging Disconnect"
"Germany","Europe & Central Asia","High income",2026,3,"65.67","5452.858","-3.78","-206.01","-2.49","-1.28","YELLOW - Emerging Disconnect"
"Canada","North America","High income",2026,3,"65.57","2507.34","-2.67","-67.00","-0.16","-2.51","YELLOW - Emerging Disconnect"
"Portugal","Europe & Central Asia","High income",2026,3,"64.19","380.637","-0.14","-0.53","1.26","-1.40","YELLOW - Emerging Disconnect"
"Ireland","Europe & Central Asia","High income",2026,3,"61.59","779.381","0.56","4.33","1.36","-0.81","YELLOW - Emerging Disconnect"
"Singapore","East Asia & Pacific","High income",2026,3,"59.41","659.572","3.31","21.85","3.42","-0.11","YELLOW - Emerging Disconnect"
"Luxembourg","Europe & Central Asia","High income",2026,3,"49.81","110.417","-1.19","-1.31","-0.66","-0.53","YELLOW - Emerging Disconnect"
"Oman","Middle East, North Africa, Afghanistan & Pakistan","High income",2026,2,"48.56","117.176","5.24","6.14","6.72","-1.48","YELLOW - Emerging Disconnect"
"Belgium","Europe & Central Asia","High income",2026,3,"48.27","776.73","-5.13","-39.83","-4.01","-1.12","YELLOW - Emerging Disconnect"
"Vietnam","East Asia & Pacific","Lower middle income",2026,3,"46.92","527.266","-1.98","-10.43","-1.72","-0.26","YELLOW - Emerging Disconnect"
"Lithuania","Europe & Central Asia","High income",2026,3,"46.85","105.907","-2.83","-3.00","-0.66","-2.17","YELLOW - Emerging Disconnect"
"Netherlands","Europe & Central Asia","High income",2026,3,"44.20","1449.704","-2.66","-38.52","-0.37","-2.29","YELLOW - Emerging Disconnect"
"Sweden","Europe & Central Asia","High income",2026,3,"42.46","760.481","-2.42","-18.39","-0.63","-1.79","YELLOW - Emerging Disconnect"
"Mexico","Latin America & Caribbean","Upper middle income",2026,3,"30.82","2120.855","-4.37","-92.74","-4.30","-0.08","YELLOW - Emerging Disconnect"
"Australia","East Asia & Pacific","High income",2026,3,"28.24","2123.963","-2.43","-51.70","-1.26","-1.17","YELLOW - Emerging Disconnect"
"Finland","Europe & Central Asia","High income",2026,3,"27.65","337.669","-4.79","-16.17","-2.89","-1.89","YELLOW - Emerging Disconnect"
"China","East Asia & Pacific","Upper middle income",2026,3,"23.86","20851.593","-8.15","-1700.03","-6.71","-1.45","YELLOW - Emerging Disconnect"
"Korea, Rep.","East Asia & Pacific","High income",2026,3,"22.42","1931.008","-1.46","-28.19","-0.67","-0.79","YELLOW - Emerging Disconnect"
"Morocco","Middle East, North Africa, Afghanistan & Pakistan","Lower middle income",2021,12,"21.26","142.022","-5.92","-8.41","-3.52","-2.40","YELLOW - Emerging Disconnect"
"Nigeria","Sub-Saharan Africa","Lower middle income",2026,3,"20.43","377.365","-4.39","-16.56","-3.13","-1.26","YELLOW - Emerging Disconnect"
