"country_name","region","unemployment_rate_pct","inflation_pct","misery_index","global_misery_rank","regional_misery_rank","misery_severity_flag"
"Venezuela, RB","Latin America & Caribbean","35.55","94.37","129.93","1","1","RED - Severe"
"Sudan","Sub-Saharan Africa","50.20","12.49","62.68","2","1","RED - Severe"
"South Africa","Sub-Saharan Africa","31.86","3.00","34.86","3","2","RED - Severe"
"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan","9.00","25.00","34.00","4","1","RED - Severe"
"Nigeria","Sub-Saharan Africa","22.56","10.00","32.56","5","3","RED - Severe"
"Lebanon","Middle East, North Africa, Afghanistan & Pakistan","11.54","14.60","26.14","6","2","YELLOW - High"
"Bolivia","Latin America & Caribbean","4.50","20.69","25.19","7","2","YELLOW - High"
"Tunisia","Middle East, North Africa, Afghanistan & Pakistan","15.20","9.60","24.80","8","3","YELLOW - High"
"Turkey","Europe & Central Asia","9.14","15.00","24.14","9","1","YELLOW - High"
"Jordan","Middle East, North Africa, Afghanistan & Pakistan","21.33","2.20","23.53","10","4","YELLOW - High"
"Sao Tome and Principe","Sub-Saharan Africa","13.47","5.00","18.47","11","4","YELLOW - High"
"Georgia","Europe & Central Asia","13.90","3.00","16.90","12","2","YELLOW - High"
"Armenia","Europe & Central Asia","12.10","3.03","15.13","13","3","YELLOW - High"
"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan","9.45","5.32","14.78","14","5","GREEN - Manageable"
"Algeria","Middle East, North Africa, Afghanistan & Pakistan","11.38","3.25","14.64","15","6","GREEN - Manageable"
"Bosnia and Herzegovina","Europe & Central Asia","12.60","1.98","14.58","16","4","GREEN - Manageable"
"Ukraine","Europe & Central Asia","9.29","5.00","14.29","17","5","GREEN - Manageable"
"Argentina","Latin America & Caribbean","6.50","7.50","14.00","18","3","GREEN - Manageable"
"Syrian Arab Republic","Middle East, North Africa, Afghanistan & Pakistan","8.61","4.40","13.01","19","7","GREEN - Manageable"
"North Macedonia","Europe & Central Asia","11.00","2.00","13.00","20","6","GREEN - Manageable"
"Colombia","Latin America & Caribbean","10.00","2.99","12.99","21","4","GREEN - Manageable"
"Morocco","Middle East, North Africa, Afghanistan & Pakistan","10.98","1.98","12.97","22","8","GREEN - Manageable"
"Uruguay","Latin America & Caribbean","8.00","4.52","12.52","23","5","GREEN - Manageable"
"Spain","Europe & Central Asia","9.96","2.00","11.96","24","7","GREEN - Manageable"
"Suriname","Latin America & Caribbean","6.77","5.00","11.77","25","6","GREEN - Manageable"
"Albania","Europe & Central Asia","8.70","3.01","11.71","26","8","GREEN - Manageable"
"Pakistan","Middle East, North Africa, Afghanistan & Pakistan","5.00","6.47","11.47","27","9","GREEN - Manageable"
"Serbia","Europe & Central Asia","8.32","2.97","11.29","28","9","GREEN - Manageable"
"Mongolia","East Asia & Pacific","5.00","6.25","11.25","29","1","GREEN - Manageable"
