"country_name","region","income_group","fiscal_year","govt_spend_pct_gdp","gdp_usd_billions","govt_spend_usd_billions","gdp_growth_pct","gdp_growth_usd_billions","usd_growth_per_usd_spend","spending_efficiency_flag"
"Mauritania","Sub-Saharan Africa","Lower middle income",2031,"25.95","17.042","4.42","2.98","-0.34","-0.0760","RED - Spending With Contraction"
"Eritrea","Sub-Saharan Africa","Low income",2019,"31.26","1.982","0.62","3.84","-0.02","-0.0387","RED - Spending With Contraction"
"Libya","Middle East, North Africa, Afghanistan & Pakistan","Upper middle income",2031,"83.66","49.473","41.39","3.76","-0.29","-0.0070","RED - Spending With Contraction"
"Norway","Europe & Central Asia","High income",2031,"51.46","617.687","317.87","1.15","5.91","0.0186","YELLOW - Low Efficiency"
"Algeria","Middle East, North Africa, Afghanistan & Pakistan","Upper middle income",2031,"31.51","327.645","103.23","2.63","2.23","0.0216","YELLOW - Low Efficiency"
"Russian Federation","Europe & Central Asia","High income",2031,"37.54","2615.027","981.71","1.00","23.52","0.0240","YELLOW - Low Efficiency"
"Nauru","East Asia & Pacific","High income",2031,"126.04","0.252","0.32","2.03","0.01","0.0313","YELLOW - Low Efficiency"
"Tuvalu","East Asia & Pacific","Upper middle income",2031,"115.87","0.081","0.09","1.65","0.00","0.0333","YELLOW - Low Efficiency"
"Kiribati","East Asia & Pacific","Lower middle income",2031,"91.29","0.48","0.44","2.11","0.02","0.0364","YELLOW - Low Efficiency"
"Micronesia, Fed. Sts.","East Asia & Pacific","Lower middle income",2031,"63.41","0.614","0.39","0.66","0.02","0.0410","YELLOW - Low Efficiency"
"Belgium","Europe & Central Asia","High income",2031,"56.15","887.607","498.37","1.26","23.85","0.0479","YELLOW - Low Efficiency"
"France","Europe & Central Asia","High income",2031,"56.08","4116.865","2308.86","1.06","112.75","0.0488","YELLOW - Low Efficiency"
"Marshall Islands","East Asia & Pacific","Upper middle income",2031,"77.57","0.433","0.34","1.61","0.02","0.0500","GREEN - Reasonable Efficiency"
"Tunisia","Middle East, North Africa, Afghanistan & Pakistan","Lower middle income",2031,"34.96","62.669","21.91","1.53","1.12","0.0509","GREEN - Reasonable Efficiency"
"Austria","Europe & Central Asia","High income",2031,"55.20","727.089","401.32","0.79","20.51","0.0511","GREEN - Reasonable Efficiency"
"Italy","Europe & Central Asia","High income",2031,"50.27","3127.67","1572.40","0.70","82.04","0.0522","GREEN - Reasonable Efficiency"
"Germany","Europe & Central Asia","High income",2031,"51.64","6351.962","3280.28","0.62","173.66","0.0529","GREEN - Reasonable Efficiency"
"Finland","Europe & Central Asia","High income",2031,"57.45","402.417","231.20","1.17","13.81","0.0597","GREEN - Reasonable Efficiency"
"Japan","East Asia & Pacific","High income",2031,"39.44","5128.325","2022.35","0.61","126.14","0.0624","GREEN - Reasonable Efficiency"
"Netherlands","Europe & Central Asia","High income",2031,"46.92","1707.813","801.27","1.19","52.86","0.0660","GREEN - Reasonable Efficiency"
"Kuwait","Middle East, North Africa, Afghanistan & Pakistan","High income",2031,"48.23","200.267","96.60","2.39","6.86","0.0710","GREEN - Reasonable Efficiency"
"Timor-Leste","East Asia & Pacific","Lower middle income",2031,"80.98","2.953","2.39","3.20","0.17","0.0711","GREEN - Reasonable Efficiency"
"Greece","Europe & Central Asia","High income",2031,"49.74","370.551","184.29","1.60","13.28","0.0721","GREEN - Reasonable Efficiency"
"Denmark","Europe & Central Asia","High income",2031,"50.69","611.871","310.15","1.45","22.65","0.0730","GREEN - Reasonable Efficiency"
"Palau","East Asia & Pacific","High income",2031,"50.58","0.474","0.24","1.97","0.02","0.0750","GREEN - Reasonable Efficiency"
