"country_name","region","ppp_implied_rate","actual_market_rate","market_rate_year","market_rate_month","pct_over_undervalued","valuation_flag"
"Ecuador","Latin America & Caribbean","0.42","25000.00",2026,3,"5924070.62","BLUE - Significantly Undervalued"
"Somalia, Fed. Rep.","Sub-Saharan Africa","0.49","23581.00",2018,6,"4832072.13","BLUE - Significantly Undervalued"
"Zimbabwe","Sub-Saharan Africa","15.23","59758.13",2025,12,"392245.45","BLUE - Significantly Undervalued"
"Italy","Europe & Central Asia","0.61","1674.08",2026,3,"275694.93","BLUE - Significantly Undervalued"
"Syrian Arab Republic","Middle East, North Africa, Afghanistan & Pakistan","20.47","12614.67",2024,10,"61522.15","BLUE - Significantly Undervalued"
"Greece","Europe & Central Asia","0.55","294.61",2026,3,"53956.63","BLUE - Significantly Undervalued"
"Liberia","Sub-Saharan Africa","0.45","201.17",2025,8,"44308.39","BLUE - Significantly Undervalued"
"Slovenia","Europe & Central Asia","0.58","207.19",2026,3,"35745.95","BLUE - Significantly Undervalued"
"Portugal","Europe & Central Asia","0.58","173.33",2026,3,"29733.67","BLUE - Significantly Undervalued"
"Spain","Europe & Central Asia","0.62","143.85",2026,3,"23253.08","BLUE - Significantly Undervalued"
"Belgium","Europe & Central Asia","0.69","34.88",2026,3,"4925.57","BLUE - Significantly Undervalued"
"Slovak Republic","Europe & Central Asia","0.55","26.05",2026,3,"4610.05","BLUE - Significantly Undervalued"
"Luxembourg","Europe & Central Asia","0.87","34.88",2026,3,"3904.31","BLUE - Significantly Undervalued"
"Mauritania","Sub-Saharan Africa","12.46","391.73",2024,8,"3042.86","BLUE - Significantly Undervalued"
"Estonia","Europe & Central Asia","0.65","13.53",2026,3,"1977.99","BLUE - Significantly Undervalued"
"El Salvador","Latin America & Caribbean","0.43","8.75",2026,3,"1930.16","BLUE - Significantly Undervalued"
"Austria","Europe & Central Asia","0.75","11.90",2026,3,"1492.65","BLUE - Significantly Undervalued"
"Croatia","Europe & Central Asia","0.48","6.51",2026,3,"1259.98","BLUE - Significantly Undervalued"
"Congo, Rep.","Sub-Saharan Africa","222.17","2191.66",2026,1,"886.47","BLUE - Significantly Undervalued"
"France","Europe & Central Asia","0.64","5.67",2026,3,"784.76","BLUE - Significantly Undervalued"
"Finland","Europe & Central Asia","0.76","5.14",2026,3,"578.18","BLUE - Significantly Undervalued"
"Afghanistan","Middle East, North Africa, Afghanistan & Pakistan","13.27","77.49",2021,5,"483.86","BLUE - Significantly Undervalued"
"Lithuania","Europe & Central Asia","0.53","2.99",2026,3,"468.63","BLUE - Significantly Undervalued"
"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan","10.81","51.67",2026,3,"377.82","BLUE - Significantly Undervalued"
"Nigeria","Sub-Saharan Africa","323.96","1378.42",2026,3,"325.49","BLUE - Significantly Undervalued"
"India","South Asia","22.58","92.71",2026,3,"310.57","BLUE - Significantly Undervalued"
"Bhutan","South Asia","22.77","92.71",2026,3,"307.21","BLUE - Significantly Undervalued"
"Nepal","South Asia","39.02","148.13",2026,3,"279.63","BLUE - Significantly Undervalued"
"Vietnam","East Asia & Pacific","6978.84","26276.48",2026,3,"276.52","BLUE - Significantly Undervalued"
"Guyana","Latin America & Caribbean","55.69","208.50",2025,12,"274.39","BLUE - Significantly Undervalued"
"Sri Lanka","South Asia","87.14","311.40",2026,3,"257.35","BLUE - Significantly Undervalued"
"Bulgaria","Europe & Central Asia","0.48","1.69",2026,3,"249.39","BLUE - Significantly Undervalued"
"Gambia, The","Sub-Saharan Africa","21.13","73.24",2026,3,"246.57","BLUE - Significantly Undervalued"
"Indonesia","East Asia & Pacific","4884.32","16925.85",2026,3,"246.53","BLUE - Significantly Undervalued"
"Sierra Leone","Sub-Saharan Africa","7058.00","24108.09",2026,3,"241.57","BLUE - Significantly Undervalued"
"Thailand","East Asia & Pacific","9.66","32.21",2026,3,"233.50","BLUE - Significantly Undervalued"
"Timor-Leste","East Asia & Pacific","0.30","1.00",2018,12,"231.13","BLUE - Significantly Undervalued"
"Azerbaijan","Europe & Central Asia","0.52","1.70",2026,3,"228.82","BLUE - Significantly Undervalued"
"Eritrea","Sub-Saharan Africa","4.69","15.08",2026,2,"221.36","BLUE - Significantly Undervalued"
"Bangladesh","South Asia","38.89","122.66",2026,3,"215.37","BLUE - Significantly Undervalued"
"Rwanda","Sub-Saharan Africa","462.40","1458.05",2026,3,"215.32","BLUE - Significantly Undervalued"
"Pakistan","Middle East, North Africa, Afghanistan & Pakistan","90.48","279.60",2026,3,"209.01","BLUE - Significantly Undervalued"
"Ethiopia","Sub-Saharan Africa","51.87","156.28",2026,3,"201.28","BLUE - Significantly Undervalued"
"Philippines","East Asia & Pacific","19.90","59.47",2026,3,"198.77","BLUE - Significantly Undervalued"
"Lao PDR","East Asia & Pacific","6838.88","20359.87",2025,7,"197.71","BLUE - Significantly Undervalued"
"Cambodia","East Asia & Pacific","1379.58","4026.40",2026,2,"191.86","BLUE - Significantly Undervalued"
"Tajikistan","Europe & Central Asia","3.27","9.42",2026,2,"187.95","BLUE - Significantly Undervalued"
"Algeria","Middle East, North Africa, Afghanistan & Pakistan","45.83","131.84",2026,3,"187.65","BLUE - Significantly Undervalued"
"Malaysia","East Asia & Pacific","1.37","3.94",2026,3,"187.47","BLUE - Significantly Undervalued"
"Eswatini","Sub-Saharan Africa","5.84","16.68",2026,3,"185.48","BLUE - Significantly Undervalued"
"Tanzania","Sub-Saharan Africa","922.20","2579.76",2026,3,"179.74","BLUE - Significantly Undervalued"
"Mali","Sub-Saharan Africa","198.89","554.77",2026,2,"178.93","BLUE - Significantly Undervalued"
"Benin","Sub-Saharan Africa","199.58","554.77",2026,2,"177.98","BLUE - Significantly Undervalued"
"Togo","Sub-Saharan Africa","200.60","554.77",2026,2,"176.56","BLUE - Significantly Undervalued"
"Brunei Darussalam","East Asia & Pacific","0.47","1.28",2026,3,"173.17","BLUE - Significantly Undervalued"
"Georgia","Europe & Central Asia","1.00","2.72",2026,3,"173.06","BLUE - Significantly Undervalued"
"Nicaragua","Latin America & Caribbean","13.69","36.81",2026,3,"168.99","BLUE - Significantly Undervalued"
"Niger","Sub-Saharan Africa","206.29","554.77",2026,2,"168.92","BLUE - Significantly Undervalued"
"Senegal","Sub-Saharan Africa","207.18","554.77",2026,2,"167.77","BLUE - Significantly Undervalued"
"Cameroon","Sub-Saharan Africa","208.34","554.77",2026,2,"166.28","BLUE - Significantly Undervalued"
"Cote d'Ivoire","Sub-Saharan Africa","214.08","567.13",2026,3,"164.91","BLUE - Significantly Undervalued"
"Gabon","Sub-Saharan Africa","210.71","554.77",2026,2,"163.28","BLUE - Significantly Undervalued"
"Ukraine","Europe & Central Asia","16.85","43.88",2026,3,"160.35","BLUE - Significantly Undervalued"
"Chad","Sub-Saharan Africa","213.59","554.77",2026,2,"159.73","BLUE - Significantly Undervalued"
"Iraq","Middle East, North Africa, Afghanistan & Pakistan","500.95","1300.00",2025,11,"159.51","BLUE - Significantly Undervalued"
"North Macedonia","Europe & Central Asia","20.68","53.29",2026,3,"157.64","BLUE - Significantly Undervalued"
"Guinea","Sub-Saharan Africa","3418.62","8780.66",2026,3,"156.85","BLUE - Significantly Undervalued"
"Belarus","Europe & Central Asia","1.19","3.02",2026,2,"153.28","BLUE - Significantly Undervalued"
"Uganda","Sub-Saharan Africa","1482.61","3726.28",2026,3,"151.33","BLUE - Significantly Undervalued"
"Russian Federation","Europe & Central Asia","32.29","80.42",2026,3,"149.07","BLUE - Significantly Undervalued"
"Bahrain","Middle East, North Africa, Afghanistan & Pakistan","0.15","0.38",2026,2,"145.45","BLUE - Significantly Undervalued"
"Madagascar","Sub-Saharan Africa","1755.03","4301.77",2026,3,"145.11","BLUE - Significantly Undervalued"
"Kenya","Sub-Saharan Africa","52.98","129.38",2026,3,"144.23","BLUE - Significantly Undervalued"
"Netherlands","Europe & Central Asia","0.78","1.91",2026,3,"143.33","BLUE - Significantly Undervalued"
"Botswana","Sub-Saharan Africa","5.80","14.01",2026,3,"141.42","BLUE - Significantly Undervalued"
"Armenia","Europe & Central Asia","157.00","377.55",2026,2,"140.48","BLUE - Significantly Undervalued"
"Tunisia","Middle East, North Africa, Afghanistan & Pakistan","1.21","2.92",2026,3,"140.35","BLUE - Significantly Undervalued"
"Taiwan, China","East Asia & Pacific","13.28","31.86",2026,3,"139.89","BLUE - Significantly Undervalued"
"Djibouti","Middle East, North Africa, Afghanistan & Pakistan","74.10","177.72",2026,2,"139.83","BLUE - Significantly Undervalued"
"Morocco","Middle East, North Africa, Afghanistan & Pakistan","3.89","9.33",2026,3,"139.64","BLUE - Significantly Undervalued"
"Fiji","East Asia & Pacific","0.93","2.22",2026,3,"138.78","BLUE - Significantly Undervalued"
"Uzbekistan","Europe & Central Asia","5130.54","12162.77",2026,3,"137.07","BLUE - Significantly Undervalued"
"Equatorial Guinea","Sub-Saharan Africa","234.02","554.77",2026,2,"137.06","BLUE - Significantly Undervalued"
"Myanmar","East Asia & Pacific","887.03","2100.00",2024,3,"136.75","BLUE - Significantly Undervalued"
"Mauritius","Sub-Saharan Africa","19.73","46.64",2026,3,"136.41","BLUE - Significantly Undervalued"
"Lesotho","Sub-Saharan Africa","7.10","16.68",2026,3,"134.86","BLUE - Significantly Undervalued"
"Burkina Faso","Sub-Saharan Africa","238.78","554.77",2026,2,"132.34","BLUE - Significantly Undervalued"
"Jordan","Middle East, North Africa, Afghanistan & Pakistan","0.31","0.71",2026,3,"131.57","BLUE - Significantly Undervalued"
"Guinea-Bissau","Sub-Saharan Africa","241.21","554.77",2026,2,"130.00","BLUE - Significantly Undervalued"
"Germany","Europe & Central Asia","0.74","1.69",2026,3,"129.45","BLUE - Significantly Undervalued"
"Oman","Middle East, North Africa, Afghanistan & Pakistan","0.17","0.39",2026,2,"129.17","BLUE - Significantly Undervalued"
"Central African Republic","Sub-Saharan Africa","247.65","567.13",2026,3,"129.01","BLUE - Significantly Undervalued"
"Paraguay","Latin America & Caribbean","2858.54","6503.11",2026,3,"127.50","BLUE - Significantly Undervalued"
"Panama","Latin America & Caribbean","0.45","1.00",2026,3,"124.22","BLUE - Significantly Undervalued"
"Mozambique","Sub-Saharan Africa","28.34","63.51",2026,3,"124.14","BLUE - Significantly Undervalued"
"Bosnia and Herzegovina","Europe & Central Asia","0.76","1.69",2026,3,"123.39","BLUE - Significantly Undervalued"
"Dominican Republic","Latin America & Caribbean","27.22","60.11",2026,3,"120.88","BLUE - Significantly Undervalued"
"Saudi Arabia","Middle East, North Africa, Afghanistan & Pakistan","1.70","3.75",2026,3,"120.53","BLUE - Significantly Undervalued"
"Mongolia","East Asia & Pacific","1619.07","3563.38",2026,3,"120.09","BLUE - Significantly Undervalued"
"Suriname","Latin America & Caribbean","17.17","37.59",2026,3,"118.90","BLUE - Significantly Undervalued"
"Colombia","Latin America & Caribbean","1735.08","3718.96",2026,3,"114.34","BLUE - Significantly Undervalued"
"Comoros","Sub-Saharan Africa","199.41","425.35",2026,3,"113.30","BLUE - Significantly Undervalued"
"Guatemala","Latin America & Caribbean","3.60","7.66",2026,3,"112.99","BLUE - Significantly Undervalued"
"Kyrgyz Republic","Europe & Central Asia","41.13","87.42",2026,3,"112.53","BLUE - Significantly Undervalued"
"Namibia","Sub-Saharan Africa","7.87","16.68",2026,3,"112.05","BLUE - Significantly Undervalued"
