"country_name","region","income_group","start_year","end_year","debt_cagr_pct","gdp_cagr_pct","excess_debt_growth_pct","years_to_ratio_doubling","doomsday_urgency_flag"
"Senegal","Sub-Saharan Africa","Lower middle income",1996,2031,"31.75","6.52","25.23","2.75","RED - Urgent"
"Hong Kong SAR, China","East Asia & Pacific","High income",2004,2031,"14.02","4.55","9.47","7.32","YELLOW - Monitor"
"Bahrain","Middle East, North Africa, Afghanistan & Pakistan","High income",1990,2031,"14.55","6.20","8.35","8.30","YELLOW - Monitor"
"Kiribati","East Asia & Pacific","Lower middle income",1988,2031,"13.83","6.35","7.47","9.28","YELLOW - Monitor"
"United Arab Emirates","Middle East, North Africa, Afghanistan & Pakistan","High income",1999,2031,"13.22","7.34","5.88","11.80","GREEN - Manageable"
"Botswana","Sub-Saharan Africa","Upper middle income",1998,2031,"15.50","9.70","5.81","11.93","GREEN - Manageable"
"Latvia","Europe & Central Asia","High income",1998,2031,"12.90","7.25","5.65","12.26","GREEN - Manageable"
"China","East Asia & Pacific","Upper middle income",1995,2031,"15.55","9.98","5.57","12.45","GREEN - Manageable"
"Belarus","Europe & Central Asia","Upper middle income",2004,2031,"22.88","17.90","4.97","13.94","GREEN - Manageable"
"San Marino","Europe & Central Asia","High income",2001,2031,"7.36","2.41","4.95","14.00","GREEN - Manageable"
"Ukraine","Europe & Central Asia","Upper middle income",1997,2031,"21.20","16.36","4.84","14.31","GREEN - Manageable"
"Estonia","Europe & Central Asia","High income",1995,2031,"13.39","8.59","4.81","14.42","GREEN - Manageable"
"Thailand","East Asia & Pacific","Upper middle income",1996,2031,"9.44","4.73","4.71","14.70","GREEN - Manageable"
"Finland","Europe & Central Asia","High income",1980,2031,"9.32","4.66","4.67","14.85","GREEN - Manageable"
"Namibia","Sub-Saharan Africa","Lower middle income",1993,2031,"14.44","10.05","4.38","15.81","GREEN - Manageable"
"Dominican Republic","Latin America & Caribbean","Upper middle income",1997,2031,"16.33","12.02","4.31","16.07","GREEN - Manageable"
"Korea, Rep.","East Asia & Pacific","High income",1990,2031,"11.32","7.07","4.25","16.30","GREEN - Manageable"
"Czechia","Europe & Central Asia","High income",1995,2031,"9.58","5.46","4.12","16.81","GREEN - Manageable"
"Zimbabwe","Sub-Saharan Africa","Lower middle income",2005,2031,"71.07","66.97","4.10","16.89","GREEN - Manageable"
"Maldives","South Asia","Upper middle income",1997,2031,"13.61","9.54","4.07","17.02","GREEN - Manageable"
"St. Lucia","Latin America & Caribbean","Upper middle income",1990,2031,"8.39","4.44","3.96","17.51","GREEN - Manageable"
"Bahamas, The","Latin America & Caribbean","High income",1990,2031,"7.28","3.36","3.92","17.67","GREEN - Manageable"
"Slovenia","Europe & Central Asia","High income",1995,2031,"10.08","6.17","3.91","17.71","GREEN - Manageable"
"Slovak Republic","Europe & Central Asia","High income",1995,2031,"10.08","6.30","3.78","18.33","GREEN - Manageable"
"Eswatini","Sub-Saharan Africa","Lower middle income",1993,2031,"12.70","8.97","3.74","18.54","GREEN - Manageable"
