"country_name","region","income_group","debt_pct_gdp","gdp_usd_billions","reserves_usd_billions","fiscal_balance_pct_gdp","ca_pct_gdp","debt_stress_flag","reserves_stress_flag","fiscal_stress_flag","ca_stress_flag","country_stress_score"
"Aruba","Latin America & Caribbean","High income","48.028","5.557",NULL,"1.087","4.684",0,0,0,0,0
"Afghanistan","Middle East, North Africa, Afghanistan & Pakistan","Low income","7.976","19.662",NULL,"-0.891","-40.19",0,0,0,1,1
"Angola","Sub-Saharan Africa","Lower middle income","57.718","179.876","15.4104053700000000","-3.88","0.591",0,1,0,0,1
"Albania","Europe & Central Asia","Upper middle income","47.994","44.032","8.7297500000000000","-2.25","-3.035",0,0,0,0,0
"Andorra","Europe & Central Asia","High income","24.503","5.878",NULL,"1.75","16.225",0,0,0,0,0
"United Arab Emirates","Middle East, North Africa, Afghanistan & Pakistan","High income","26.007","815.049",NULL,"4.489","9.04",0,0,0,0,0
"Argentina","Latin America & Caribbean","Upper middle income","52.158","878.051",NULL,"1.28","-0.337",0,0,0,0,0
"Armenia","Europe & Central Asia","Upper middle income","46.722","43.618","5.5207000000000000","-1.321","-4.437",0,0,0,0,0
"Antigua and Barbuda","Latin America & Caribbean","High income","58.411","2.972","0.32865974750000000000","-0.946","-9.391",0,0,0,1,1
"Australia","East Asia & Pacific","High income","49.124","2590.235","62.1343515500000000","-1.448","-2.414",0,1,0,0,1
"Austria","Europe & Central Asia","High income","86.424","727.089","15.1440699400000000","-3.644","2.526",1,1,0,0,2
"Azerbaijan","Europe & Central Asia","Upper middle income","20.236","105.923","5.1198269080000000","-0.488","0.599",0,0,0,0,0
"Burundi","Sub-Saharan Africa","Low income","31.332","9.749",NULL,"-3.16","-4.844",0,0,0,0,0
"Belgium","Europe & Central Asia","High income","122.339","887.607","24.7925780300000000","-5.78","-0.704",1,1,1,0,3
"Benin","Sub-Saharan Africa","Lower middle income","50.304","41.601",NULL,"-2.9","-3.994",0,0,0,0,0
"Burkina Faso","Sub-Saharan Africa","Low income","46.385","47.063",NULL,"-3","5.452",0,0,0,0,0
"Bangladesh","South Asia","Lower middle income","48.799","740.011","35.1091820000000000","-5.654","-2.023",0,1,1,0,2
"Bulgaria","Europe & Central Asia","High income","35.852","200.586","8.8031700000000000","-3.335","1.175",0,1,0,0,1
"Bahrain","Middle East, North Africa, Afghanistan & Pakistan","High income","161.228","61.074",NULL,"-8.721","2.038",1,0,1,0,2
"Bahamas, The","Latin America & Caribbean","High income","61.934","20.201","1.3453446740000000","0.25","-5.882",0,1,0,1,2
"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income","41.703","47.66","10.9406000500000000","-4.626","-3.971",0,0,0,0,0
"Belarus","Europe & Central Asia","Upper middle income","28.158","133.483","12.3278593700000000","-0.252","-3.258",0,0,0,0,0
"Belize","Latin America & Caribbean","Upper middle income","59.983","4.071","0.29446843510000000000","-1.087","-3.201",0,1,0,0,1
"Bolivia","Latin America & Caribbean","Lower middle income","102.702","80.743","4.3202000000000000","-9.299","1.238",1,1,1,0,3
"Brazil","Latin America & Caribbean","Upper middle income","106.52","3378.877","371.0740000000000000","-6.109","-1.846",1,1,1,0,3
"Barbados","Latin America & Caribbean","High income","69.109","10.75",NULL,"0.604","-5.214",0,0,0,1,1
"Brunei Darussalam","East Asia & Pacific","High income","1.227","20.662",NULL,"-9.022","15.923",0,0,1,0,1
"Bhutan","South Asia","Lower middle income","123.962","6.209","0.98724703560000000000","-5.032","-18.382",1,1,1,1,4
"Botswana","Sub-Saharan Africa","Upper middle income","64.367","33.58","6.6569136380000000","-7.458","-2.423",0,0,1,0,1
"Central African Republic","Sub-Saharan Africa","Low income","81.569","4.783",NULL,"-9.553","-5.432",1,0,1,1,3
"Canada","North America","High income","103.525","3139.433","125.9609538000000000","-1.524","-0.022",1,1,0,0,2
"Switzerland","Europe & Central Asia","High income","33.458","1398.268","943.2420600000000000","0.179","6.988",0,0,0,0,0
"Chile","Latin America & Caribbean","High income","49.169","519.088","59.2041529500000000","-2.005","-2.41",0,0,0,0,0
"China","East Asia & Pacific","Upper middle income","126.786","27496.67","3497.7516180000000000","-8.014","2.843",1,1,1,0,3
"Cote d'Ivoire","Sub-Saharan Africa","Lower middle income","48.572","169.767",NULL,"-2.998","-2.488",0,0,0,0,0
"Cameroon","Sub-Saharan Africa","Lower middle income","31.861","92.356","4.7394757850000000","-1.202","-3.609",0,0,0,0,0
"Congo, Dem. Rep.","Sub-Saharan Africa","Low income","33.496","175.414","0.66527209500000000000","-1.151","-1.67",0,1,0,0,1
"Congo, Rep.","Sub-Saharan Africa","Lower middle income","60.438","23.214",NULL,"4.648","-4.293",0,0,0,0,0
"Colombia","Latin America & Caribbean","Upper middle income","59.229","661.138","67.4359000000000000","-2.412","-3.193",0,0,0,0,0
"Comoros","Sub-Saharan Africa","Lower middle income","26.809","2.46",NULL,"-1.391","-2.982",0,0,0,0,0
"Cabo Verde","Sub-Saharan Africa","Upper middle income","71.406","4.902","0.60643060030000000000","0.194","-2.307",1,0,0,0,1
"Costa Rica","Latin America & Caribbean","High income","58.597","144.622","19.2123000000000000","-2.195","-1.314",0,0,0,0,0
"Cyprus","Europe & Central Asia","High income","32.052","58.098","1.0797166470000000","1.611","-10.508",0,1,0,1,2
"Czechia","Europe & Central Asia","High income","53.624","526.286","181.0968700000000000","-3.064","-0.54",0,0,0,0,0
"Germany","Europe & Central Asia","High income","73.671","6351.962","111.1431023000000000","-3.66","3.835",1,1,0,0,2
